code,name,nominal,value,previous
AUD,Австралийский доллар,1,52.1716,52.3172
AZN,Азербайджанский манат,1,43.0967,43.217
DZD,Алжирских динаров,100,54.8221,55.1734
GBP,Фунт стерлингов,1,98.0791,98.7789
AMD,Армянских драмов,100,19.8802,19.9351
BHD,Бахрейнский динар,1,194.81,195.3538
BYN,Белорусский рубль,1,26.1146,26.0815
BOB,Боливиано,1,10.6027,10.6323
BRL,Бразильский реал,1,14.298,14.5737
HUF,Форинтов,100,23.6604,24.1412
VND,Донгов,10000,29.131,29.2158
HKD,Гонконгских долларов,10,93.4853,93.7701
GEL,Лари,1,27.5037,27.5712
DKK,Датская крона,1,11.4099,11.4418
AED,Дирхам ОАЭ,1,19.9495,20.0051
USD,Доллар США,1,73.2644,73.4689
EUR,Евро,1,85.2798,85.5582
EGP,Египетских фунтов,10,14.0463,14.1758
INR,Индийских рупий,100,76.6205,77.0117
IDR,Рупий,10000,40.6144,40.7278
IRR,Иранских риалов,1000000,49.8239,50.1401
KZT,Тенге,100,15.0304,15.1376
CAD,Канадский доллар,1,52.6174,52.8705
QAR,Катарский риал,1,20.1276,20.1838
KGS,Сомов,100,83.7789,84.0125
CNY,Юань,1,10.7826,10.853
CUP,Кубинских песо,10,30.5268,30.612
MDL,Молдавских леев,10,42.4053,42.4934
MNT,Тугриков,1000,20.4887,20.543
NGN,Найр,1000,53.7834,54.071
NZD,Новозеландский доллар,1,42.4824,43.0418
NOK,Норвежских крон,10,78.6386,78.8581
OMR,Оманский риал,1,190.5446,191.0765
PLN,Злотый,1,19.8559,20.1882
SAR,Саудовский риял,1,19.5372,19.5917
RON,Румынский лей,1,16.0791,16.2895
XDR,СДР (специальные права заимствования),1,100.2799,100.5062
SGD,Сингапурский доллар,1,56.7721,57.1564
TJS,Сомони,10,78.3535,79.1682
THB,Батов,10,22.298,22.4909
BDT,Так,100,59.6646,59.7722
TRY,Турецких лир,10,15.9445,15.9963
TMT,Новый туркменский манат,1,20.9327,20.9911
UZS,Узбекских сумов,10000,60.9856,61.9274
UAH,Гривен,10,16.4591,16.5626
CZK,Чешских крон,10,34.8712,35.3913
SEK,Шведских крон,10,78.4723,78.5987
CHF,Швейцарский франк,1,91.81,93.2228
ETB,Эфиопских быров,100,46.3784,46.9035
RSD,Сербских динаров,100,72.0022,72.7079
ZAR,Рэндов,10,44.2055,45.1242
KRW,Вон,1000,47.4818,48.0629
JPY,Иен,100,45.6903,45.9295
MMK,Кьятов,1000,34.8878,34.9852
